address,city,state,postalCode,price,size_sqft,num_rooms,year_built
1241 Windy Bay Shl,Tarpon Springs,FL,34689,725000.0,1859.0,4,2016
1618 Euclid Ave,Berwyn,IL,60402-1839,196500.0,2942.0,6,1925
109 E 3rd St,Milledgeville,IL,61051,99900.0,1252.0,2,1948
7369 E Shields Dr,Nampa,ID,83687,457990.0,2126.0,4,2025
4200 Milam St,Bryan,TX,77801,390900.0,1610.0,3,1960
1624 EUCLID AVE,Berwyn,IL,60402 6145,335000.0,1761.0,3,1953
651 W Baldwin Lk Dr,Greenville,MI,48838,525000.0,2134.0,4,1910
6209 Chestnut St,Philadelphia,PA,19139,165000.0,2110.0,5,1925
5404 N 196th Ave,Elkhorn,NE,68022,750000.0,3696.0,5,2025
2004 Ohio Ave,West Mifflin,PA,15122,140000.0,975.0,3,1952
48 1st Ave,Coatesville,PA,19320,345000.0,1550.0,3,1890
129 Bay Point Dr NE,Saint Petersburg,FL,33704,6280000.0,3635.0,4,2020
6409 Raleigh Loop,College Stationtx,TX,77845,437740.0,2648.0,5,2025
539 Brk Ln,Warminster,PA,18974,465000.0,2400.0,4,1971
1815 Bay St NE,Saint Petersburg,FL,33704,0.0,780.0,0,1925
27-20 99 STREET Unit,Queens,NY,,0.0,630.0,0,0
Tbd CR 128,Iola,TX,77861,79500.0,0.0,0,0
5891 Riverside Dr,Woodbridge,VA,22193,615000.0,2638.0,3,2012
3503 24th Ave,Temple Hills,MD,20748,428000.0,2156.0,4,1958
4004 Oaklawn St,Bryan,TX,77801,657500.0,2798.0,5,2015
2720 Sands Rd,Lakeland,FL,33810,299900.0,1529.0,4,1950
6743 Hare Run Ln,Bartlett,TN,38002,0.0,2300.0,4,1997
1100 Spirit Rock Dr,Henderson,NV,89012,5750000.0,4334.0,3,2024
4031 W Vanderbilt Dr,Corpus Christi,TX,78415,0.0,1253.0,0,1945
